PM10,predicted_aqi_actual,predicted_aqi_predicted,actual_aqi_bucket,predicted_aqi_bucket
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
125.0,175.64,231.76,Unhealthy,Very Unhealthy
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,78.03,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
80.0,77.33,91.21,Moderate,Moderate
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
89.0,88.52,148.66,Moderate,Unhealthy for Sensitive Groups
